"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","223","Verify cart page displays correct label","SauceDemo Cross-Browser Suite","Sat Sep 27 14:52:59 UTC 2025","passed","Sat Sep 27 14:52:59 UTC 2025","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testCartPageLabel"
"","1344","Verify multiple products can be added and verified in cart","SauceDemo Cross-Browser Suite","Sat Sep 27 14:52:48 UTC 2025","passed","Sat Sep 27 14:52:49 UTC 2025","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testMultipleProductsAddition"
"","311","Verify Add to Cart button changes to Remove after clicking","SauceDemo Cross-Browser Suite","Sat Sep 27 14:52:49 UTC 2025","passed","Sat Sep 27 14:52:49 UTC 2025","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testAddToCartButtonUpdate"
"","414","Verify product page shows correct title when clicked","SauceDemo Cross-Browser Suite","Sat Sep 27 14:52:54 UTC 2025","passed","Sat Sep 27 14:52:54 UTC 2025","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testProductPageTitle"
"","425","Verify product page shows correct title when clicked","SauceDemo Cross-Browser Suite","Sat Sep 27 14:52:54 UTC 2025","passed","Sat Sep 27 14:52:54 UTC 2025","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testProductPageTitle"
"","1165","Verify multiple products can be added and verified in cart","SauceDemo Cross-Browser Suite","Sat Sep 27 14:52:45 UTC 2025","passed","Sat Sep 27 14:52:46 UTC 2025","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testMultipleProductsAddition"
"","718","Verify complete order flow from product to confirmation","SauceDemo Cross-Browser Suite","Sat Sep 27 14:53:03 UTC 2025","passed","Sat Sep 27 14:53:03 UTC 2025","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testCompleteOrderFlow"
"","688","Verify multiple products can be added and verified in cart","SauceDemo Cross-Browser Suite","Sat Sep 27 14:53:06 UTC 2025","passed","Sat Sep 27 14:53:07 UTC 2025","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testMultipleProductsAddition"
"","364","Verify prices can be sorted from low to high","SauceDemo Cross-Browser Suite","Sat Sep 27 14:52:52 UTC 2025","passed","Sat Sep 27 14:52:52 UTC 2025","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testPriceSortingLowToHigh"
"","397","Verify prices can be sorted from high to low","SauceDemo Cross-Browser Suite","Sat Sep 27 14:52:48 UTC 2025","passed","Sat Sep 27 14:52:49 UTC 2025","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testPriceSortingHighToLow"
"","206","Verify product page shows correct title when clicked","SauceDemo Cross-Browser Suite","Sat Sep 27 14:53:17 UTC 2025","passed","Sat Sep 27 14:53:18 UTC 2025","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testProductPageTitle"
"This test verifies that a user can successfully log in with valid credentials","543","Verify successful login with valid credentials","SauceDemo Cross-Browser Suite","Sat Sep 27 14:52:33 UTC 2025","passed","Sat Sep 27 14:52:33 UTC 2025","tests.HomePageTests","Edge Tests","tests.HomePageTests","testSuccessfulLogin"
